Sentence #,Word,POS,NER_Tag,RefExp_Tag
Sentence: 5039,wait,VERB,O,O
,,PUNCT,O,O
,can,VERB,O,O
,i,PRON,O,O
,have,AUX,O,O
,four,NUM,O,O
,hallway,NOUN,B-location,O
,?,PUNCT,O,O
Sentence: 5040,four,NUM,O,O
,currency,PROPN,B-location,O
,exchange,PROPN,I-location,O
,.,PUNCT,O,O
Sentence: 5041,what,PRON,O,O
,are,AUX,O,O
,four,NUM,O,O
,apartment,NOUN,B-location,O
,?,PUNCT,O,O
Sentence: 5042,can,VERB,O,O
,you,PRON,O,O
,like,VERB,O,O
,every,DET,O,O
,neighbouring,NOUN,B-neighborhood,O
,in,ADP,O,O
,both,DET,O,O
,area,NOUN,B-neighborhood,O
,of,NOUN,I-neighborhood,O
,city,NOUN,I-neighborhood,O
,?,PUNCT,O,O
Sentence: 5043,i,PRON,O,O
,am,AUX,O,O
,sorry,ADJ,O,O
,i,PRON,O,O
,meant,VERB,O,O
,how,ADV,O,O
,many,ADJ,O,O
,evil,PUNCT,B-crime,O
,deed,PUNCT,I-crime,O
,occur,VERB,O,O
,that,DET,O,O
,i,PRON,O,O
,wanted,VERB,O,O
,.,PUNCT,O,O
Sentence: 5044,is,AUX,O,O
,that,SCONJ,O,O
,a,DET,O,O
,felonious,NOUN,B-crime,O
,for,ADP,O,O
,a,DET,O,O
,month,NOUN,B-month,O
,?,PUNCT,O,O
Sentence: 5045,for,ADP,O,O
,four,NUM,O,O
,time,NOUN,B-time,O
,.,PUNCT,O,O
Sentence: 5046,can,VERB,O,O
,you,PRON,O,O
,show,VERB,O,O
,me,PRON,O,O
,the,DET,O,O
,residential,ADJ,B-location,O
,?,PUNCT,O,O
Sentence: 5047,i,PRON,O,O
,am,AUX,O,O
,sorry,ADJ,O,O
,if,SCONJ,O,O
,we,PRON,O,O
,look,VERB,O,O
,at,ADP,O,O
,the,DET,O,O
,UUNNKK,PROPN,B-neighborhood,O
,River,PROPN,I-neighborhood,O
,North,PROPN,I-neighborhood,O
