Sentence #,Word,POS,NER_Tag,RefExp_Tag
Sentence: 2149,so,ADV,O,O
,i,PRON,O,O
,like,VERB,O,O
,to,PART,O,O
,ask,VERB,O,O
,for,ADP,O,O
,a,DET,O,O
,map,NOUN,O,O
,or,CCONJ,O,O
,how,ADV,O,O
,the,DET,O,O
,job,NOUN,O,O
,is,AUX,O,O
,?,PUNCT,O,O
Sentence: 2150,i,PRON,O,O
,think,VERB,O,O
,we,PRON,O,O
,see,VERB,O,O
,the,DET,O,O
,map,NOUN,O,O
,?,PUNCT,O,O
Sentence: 2151,let,VERB,O,O
,us,PRON,O,O
,see,VERB,O,O
,.,PUNCT,O,O
Sentence: 2152,once,SCONJ,O,O
,you,PRON,O,O
,get,VERB,O,O
,the,DET,O,O
,map,NOUN,O,O
,when,ADV,O,O
,you,PRON,O,O
,are,AUX,O,O
,together,ADV,O,O
,,PUNCT,O,O
,you,PRON,O,O
,can,VERB,O,O
,load,VERB,O,O
,everything,PRON,O,O
,left,VERB,O,O
,?,PUNCT,O,O
Sentence: 2153,so,SCONJ,O,O
,we,PRON,O,O
,have,AUX,O,O
,a,DET,O,O
,big,ADJ,O,O
,sum,NOUN,O,O
,to,PART,O,O
,watch,VERB,O,O
,what,PRON,O,O
,work,NOUN,O,O
,is,AUX,O,O
,?,PUNCT,O,O
Sentence: 2154,and,CCONJ,O,O
,then,ADV,O,O
,let,VERB,O,O
,us,PRON,O,O
,see,VERB,O,O
,how,ADV,O,O
,the,DET,O,O
,glasses,NOUN,O,O
,are,AUX,O,O
,,PUNCT,O,O
,but,CCONJ,O,O
,when,ADV,O,O
,we,PRON,O,O
,can,VERB,O,O
,,PUNCT,O,O
,say,VERB,O,O
,it,PRON,O,O
,hard,ADV,O,O
,,PUNCT,O,O
,but,CCONJ,O,O
,maybe,ADV,O,O
,if,SCONJ,O,O
,we,PRON,O,O
,see,VERB,O,O
,a,DET,O,O
,day,NOUN,B-day,O
,-,PUNCT,O,O
,a,DET,O,O
,bar,NOUN,O,O
,and,CCONJ,O,O
,something,PRON,O,O
,?,PUNCT,O,O
Sentence: 2155,we,PRON,O,O
,do,AUX,O,O
,not,PART,O,O
,want,VERB,O,O
,a,DET,O,O
,pie,PROPN,B-visualization,O
,chart,PROPN,I-visualization,O
,,PUNCT,O,O
,just,ADV,O,O
,to,PART,O,O
