,queries,chartType
661,show me a highest to lowest bar chart of count by sub-nominal,bar
144,"histogram of nominal, number of bins 8",bar
530,Display column graph of average nominal by nominal broken down by nominal,bar
234,Show me a bar graph of the nominal for each nominal | Make the bars stacked with the nominal,bar
425,Visualize in one chart nominal and nominals by product by nominal,heatmap
344,Show nominal timeline by movie genre,line
1364,can you make a map of nominals filtered by very high nominal,map
1054,which nominal are you referring,none
761,show me a scatterplot of nominal ratings vs imdb ratings,heatmap
765,"show me a histogram of the count of each nominal, sorted in descending number of releases. ",bar
869,give me the hourly population,none
29,show me nominal against nominal split by nominal,heatmap
774,Stacked Barchart Ship Status X=Region Y=SUM(Profit),bar
475,"For each movie, show its budget and gross on a scatter plot and include the genre",heatmap
1067,how many people are insured in nominal,none
1345,answer clearly if i were talking about like,none
1304,can you make a map by area size,map
104,Show how genres have been associated with nominales from 1995 to 2009.,line
1316,can you make a map filtered by southwest plus urban plus very high nominal index,map
544,Avg(Profit) Split by Ship Mode by nominal and segement,bar
26,"For each nominal, nominal by nominal scatterplot",heatmap
835,are you can you show me a map of nominal,map
681,relation between nominal and IMDB ratings,heatmap
170,What is the relationship between nominal and nominal for each nominal?,heatmap
160,Plot the total nominal for each nominal using a stacked bar chart. Break down within each genre by nominal.,bar
1205,perfect,none
481,"Gross, nominal and genre as a line chart",line
1097,erase all that,none
1159,what's another word filter,none
227,Show me the count of each order quantity,bar
657,"show me a bar chart of count by sub-nominal, sorted by count highest to lowest",bar
832,colon cancer test,none
1359,can you make a histogram of nominal filtered by nominal,bar
64,count of orders by order quantity,bar
396,Show average mgp for each type of cylinder,bar
483,How many movies are of each length?,bar
82,Scatter Production Budget vs Worldwide Gross. Color Code Major Genre.,heatmap
782,Ship Mode Bar Chart AVG(Profit) by Segment),bar
668,how many movies are there for each nominal,bar
605,Show me average nominal trended over ascending nominals,line
219,"Create Bar chart | X axis is Ship Mode | Y axis is AVG(Profit) | Separate by First Class, Same Day, Second Class, Standard Class | Color by Segment",bar
1160,can you check this map by nominal,map
1076,oh,none
1209,the awesomest,none
843,it's going to give us record,none
1175,how do you make the map of the southwest and suburban elderly population,map
818,so right now we just can't have people in probably,none
781,Region Scatterplot Profit by Sales,heatmap
1001,borderline cases versus the different type,none
1025,coronavirus cases,none
803,Average MPG by nominal histogram,bar
621,create a line graph of average nominal by nominal grouped by nominal,line
379,How many products have 3 or more quantity ordered ?,bar
266,Visualize the general trend of car nominal nominals over the nominals,line
1227,already can you flip the x & y axis fitness chart,none
1090,i know you want to see a map of doctors nominal right yeah,map
429,Plot ROWCOUNT vs Origin,bar
1075,nation phone number for translator,none
753,show me small multiple scatter plots of movie nominal vs gross worldwide where each multiple is a specific rating,heatmap
519,"Groupby (nominal) | For each nominal, groupby (nominal) | For each (nominal, nominal), calculate the sum of nominal",bar
949,dc mcallister,none
354,give me a bar chart of nominal sum by nominals stacked by nominals,bar
86,plot nominal versus nominal with a separate plot for each nominal. Make the axes identical.,heatmap
355,What was the average nominal of movies by nominal?,line
1252,we're getting a lot of nominal,none
155,vertical bar chart of number of nominals by nominal,bar
1248,young just try the other ones dancing,none
1244,coleman furnace filter,none
769,Show the average nominal by nominal,bar
644,"show me a scatter chart of nominal by nominal, color coded by nominal",heatmap
1354,,
1071,but rank resources to more privileged areas of war,none
868,i don't think so,none
825,v s on nominal,none
1165,you want to take another nap instead,none
253,"3 scatter plots, one each for every Europe, Japan, and USA, to show nominal on X Axis and Acceleration on Y Axis",heatmap
184,Group cars by countries and nominal,bar
911,nominal,none
116,"""Is there a correlation between cars' nominal and nominal?",heatmap
941,subway south east and south west,none
771,Bar Graph AVG(Profit) by State,bar
1273,expect that down for some reason,none
1337,the kids model picture,none
294,plot nominal,bar
792,scatterplot MPG vs Displacement separated by nominal,heatmap
716,Bar chart of nominal versus average nominal,bar
52,Columns of Count vs Order Quantity,bar
15,give me a scatterplot of imdb rating as x axis and nominal rating as y axis,heatmap
802,Average nominal by cylidners and nominal of nominal in separate panels,bar
220,Create line graph | Axes are Order Date and SUM(Sales) | Color by nominal,line
784,chart average nominal over time,line
1167,nominal on cell,none
406,Show distribution of nominal,bar
149,vertical bar chart of average nominal by nominal,bar
1192,the met last time,none
849,so i guess we can say based on,none
1240,type,none
611,"create scatter plot of nominal vs nominal by car nominal, group by nominal",heatmap
1099,i like how do you answer that how are the nominals at difference,none
161,Plot the average nominal for each nominal. Sort alphabetically.,bar
265,Visualize distribution of MPG v/s nominal across nominal,heatmap
1355,it gone forever,none
770,Show correlation between nominal and nominal,heatmap
810,what is the breakdown of cars by the number of nominal in each nominal?,bar
1275,can you remove the null value,none
426,"Plot Acceleration vs Weight, grouped by Origin",heatmap
606,budget vs nominal regarding different nominals,bar
1100,history of here i was like,none
466,Show a scatter plot of imdb rating vs nominal rating,heatmap
67,total count for each subnominal item,bar
1093,very hot,none
1180,bernie tiede,none
998,on south africa southeast area,none
821,what grades are in middle,none
113,What is the correlation between nominal and MPG of cars with different nominals?,heatmap
282,"Average nominal by Creative Type, with separate graphs by Content Rating",bar
246,Show number of cars from each nominal,bar
1303,i know,none
250,Bar graph to show nominal on X Axis and count of cars on Y Axis,bar
320,how is nominal related to nominal,heatmap
1056,house of correlate with amount of code,none
476,Average ww gross by genre,bar
833,how much people can get access to doctor,none
132,"bars of avg nominal, colored by nominal, with small multiples by nominal",bar
577,budget by nominal per nominal,heatmap
1312,i want to make a map of all the area codes so that,map
1327,can release the iphone is not caring when it's running,none
719,Bar chart of average nominal for cars with each number of nominal in each place of nominal. Color by nominal. Separate into multiple charts by number of nominal.,bar
1129,i love you,none
671,Create column graph of all movies by nominal,bar
1320,not go away,none
1291,i want to find out,none
407,Show histogram of nominal,bar
479,Total gross by genre and nominal,line
25,Acceleration by nominal scatterplot facet by nominal,heatmap
39,give me the number of movies by nominal,bar
717,Scatterplot of nominal vs nominal. Color by nominal.,heatmap
1270,thank you,none
1254,how do you make a map of the nominal,map
247,Graph to show the nominal for cars from different countries segregated based on number of nominal,bar
417,"Plot the average of Acceleration, grouped by Cylinders, colored by Origin",bar
627,Show me the average nominal by nominal,bar
848,which nominals of the us should we prioritize,none
380,How many products are ordered in single quantity ?,bar
121,Please show me how the average nominals change in a timeline.,line
1154,rt nagar she's not between nominal and nominal,none
847,so g of powderly percentage,none
458,Global boxoffice by genre and mpaa rating,bar
617,What is the range of nominals for all cars?,bar
447,count by nominal and nominal,bar
1073,i'll say a prayer area,none
77,scatter nominalating vs Rotten Tomatoes Rating,heatmap
1330,let's go can you not combine them,none
1091,and they compared it to,none
715,Bar chart of nominal,bar
199,Create a bar chart showing average nominal by nominal,bar
