Sentence #,Word,POS,NER_Tag,RefExp_Tag
Sentence: 8812,i,PRON,O,O
,guess,VERB,O,O
,i,PRON,O,O
,think,VERB,O,O
,i,PRON,O,O
,am,AUX,O,O
,going,VERB,O,O
,to,PART,O,O
,leave,VERB,O,O
,if,SCONJ,O,O
,i,PRON,O,O
,was,AUX,O,O
,walking,VERB,O,O
,if,SCONJ,O,O
,i,PRON,O,O
,went,VERB,O,O
,to,ADP,O,O
,the,DET,O,O
,small,INTJ,B-location,O
,retail,INTJ,I-location,O
,store,INTJ,I-location,O
,if,SCONJ,O,O
,i,PRON,O,O
,went,VERB,O,O
,to,ADP,O,O
,vacant,PROPN,B-location,O
,land,PROPN,I-location,O
,would,VERB,O,O
,have,AUX,O,O
,the,DET,O,O
,cta,PROPN,B-location,O
,garage,PROPN,I-location,O
,that,DET,O,O
,are,AUX,O,O
,particularly,ADV,O,O
,dangerous,ADJ,O,O
,to,PART,O,O
,fly,VERB,O,O
,,PUNCT,O,O
,or,CCONJ,O,O
,with,ADP,O,O
,a,DET,O,O
,battery,NOUN,B-crime,O
,or,CCONJ,O,O
,that,SCONJ,O,O
,sort,NOUN,O,O
,of,ADP,O,O
,thing,NOUN,O,O
,.,PUNCT,O,O
Sentence: 8813,ok,INTJ,O,O
,,PUNCT,O,O
,i,PRON,O,O
,can,VERB,O,O
,see,VERB,O,O
,all,DET,O,O
,the,DET,O,O
,bad,PROPN,B-crime,O
,deed,PROPN,I-crime,O
,and,CCONJ,O,O
,concealed,PROPN,B-crime,O
,carry,PROPN,I-crime,O
,license,PROPN,I-crime,O
,violation,PROPN,I-crime,O
,and,CCONJ,O,O
,sex,PROPN,B-crime,O
,offense,PROPN,I-crime,O
,.,PUNCT,O,O
Sentence: 8814,the,DET,O,O
,child,PROPN,B-crime,O
,endangerment,PROPN,I-crime,O
,looks,VERB,O,O
,pretty,ADV,O,O
,high,ADJ,O,O
,.,PUNCT,O,O
Sentence: 8815,so,ADV,O,O
,i,PRON,O,O
,wonder,VERB,O,O
,why,ADV,O,O
,the,DET,O,O
,area,NOUN,B-neighborhood,O
,of,NOUN,I-neighborhood,O
,city,NOUN,I-neighborhood,O
,is,AUX,O,O
,adjacent,ADJ,O,O
,to,ADP,O,O
,the,DET,O,O
,vicinity,NOUN,B-neighborhood,O
,that,DET,O,O
,is,AUX,O,O
,got,VERB,O,O
,other,ADJ,O,O
,personal,ADJ,O,O
,infraction,NOUN,B-crime,O
,as,ADV,O,O
,much,ADV,O,O
,as,SCONJ,O,O
,you,PRON,O,O
,would,VERB,O,O
,have,AUX,O,O
,a,DET,O,O
,broken,ADJ,O,O
,house,NOUN,B-location,O
,or,CCONJ,O,O
,a,DET,O,O
,couple,NOUN,O,O
,of,ADP,O,O
,things,NOUN,O,O
,?,PUNCT,O,O
Sentence: 8816,looks,VERB,O,O
,like,SCONJ,O,O
,they,PRON,O,O
,are,AUX,O,O
,all,ADV,O,O
,too,ADV,O,O
,.,PUNCT,O,O
Sentence: 8817,maybe,ADV,O,O
,Near,ADJ,B-neighborhood,O
,West,ADJ,I-neighborhood,O
,...,PUNCT,O,O
Sentence: 8818,you,PRON,O,O
,think,VERB,O,O
,he,PRON,O,O
,is,AUX,O,O
,got,VERB,O,O
,a,DET,O,O
,reputation,NOUN,O,O
,for,ADP,O,O
,the,DET,O,O
,Near,PROPN,B-neighborhood,O
,West,PROPN,I-neighborhood,O
,,PUNCT,O,O
,but,CCONJ,O,O
,it,PRON,O,O
,does,AUX,O,O
,not,PART,O,O
,look,VERB,O,O
,like,SCONJ,O,O
,it,PRON,O,O
,.,PUNCT,O,O
Sentence: 8819,so,ADV,O,O
,my,DET,O,O
,next,ADJ,O,O
,question,NOUN,O,O
,is,AUX,O,O
,cta,PROPN,B-location,O
,garage,PROPN,I-location,O
,and,CCONJ,O,O
,waterfront,NOUN,B-location,O
,as,SCONJ,O,O
,a,DET,O,O
,little,ADJ,O,O
,bit,NOUN,O,O
,?,PUNCT,O,O
Sentence: 8820,so,ADV,O,O
,i,PRON,O,O
,see,VERB,O,O
,the,DET,O,O
,criminal,PROPN,B-crime,O
,offense,PROPN,I-crime,O
,that,SCONJ,O,O
,the,DET,O,O
,business,NOUN,B-location,O
,office,NOUN,I-location,O
,of,ADP,O,O
,school,NOUN,B-location,O
,happens,VERB,O,O
,in,ADP,O,O
,the,DET,O,O
,streets,NOUN,B-location,O
,,PUNCT,O,O
,apparently,ADV,O,O
,the,DET,O,O
,most,ADV,O,O
,common,ADJ,O,O
,or,CCONJ,O,O
,inner,ADJ,O,O
,building,NOUN,O,O
,.,PUNCT,O,O
Sentence: 8821,and,CCONJ,O,O
,then,ADV,O,O
,we,PRON,O,O
,steal,VERB,O,O
,the,DET,O,O
,most,ADJ,O,O
,and,CCONJ,O,O
,then,ADV,O,O
,the,DET,O,O
,second,ADJ,O,O
,ones,NOUN,O,O
,and,CCONJ,O,O
,then,ADV,O,O
,currency,PROPN,B-location,O
,exchange,PROPN,I-location,O
,will,VERB,O,O
,be,AUX,O,O
,quite,ADV,O,O
,pretty,ADV,O,O
,high,ADJ,O,O
,in,ADP,O,O
,the,DET,O,O
,quarter,NOUN,B-neighborhood,O
,.,PUNCT,O,O
Sentence: 8822,but,CCONJ,O,O
,it,PRON,O,O
,does,AUX,O,O
,not,PART,O,O
,seem,VERB,O,O
,to,PART,O,O
,be,AUX,O,O
